"건강증진센터명","건강증진센터구분","소재지도로명주소","소재지지번주소","위도","경도","건강증진업무내용","운영시작시각","운영종료시각","휴무일정보","건물면적","의사수","간호사수","사회복지사수","영양사수","기타인력현황","기타이용안내","운영기관전화번호","운영기관명","관리기관전화번호","관리기관명","데이터기준일자","제공기관코드","제공기관명","작업일시"
"서울특별시 구로정신건강복지센터","정신보건","서울특별시 구로구 공원로21","","37.49892612","126.8912757","정신건강증진사업+아동청소년사업+자살예방사업+중증정신질환사업+심리상담실 운영","09:00","18:00","토+일+공휴일","391.84","0","7","15","0","임상심리사2,상담심리사1","","02-861-2284","서울특별시 구로구 보건소","02-860-2615","서울특별시 구로구 보건소","2025-04-10","3160000","서울특별시 구로구","2026-01-01 14:51:00.0"
"동작구정신건강복지센터","정신보건","서울특별시 동작구 사당로 253-3","서울특별시 동작구 사당동 324-14","37.48367377","126.9758719","정신질환자 조기발견 및 관리","09:00","17:00","토+일+공휴일","200","0","4","6","0","심리상담사(3)","상담 원할시 사전 전화연락 요망","02-820-4072","동작구보건소","02-820-1425","서울특별시 동작구 보건소","2025-04-05","3190000","서울특별시 동작구","2026-01-01 14:51:00.0"
"세곡동건강증진센터","건강증진","서울특별시 강남구 밤고개로 286","서울특별시 강남구 율현동 278-1","37.4690094","127.1069041","대사증후군관리,만성질환관리,고혈압,당뇨 교육","09:00","17:00","월+수~일+공휴일","12","0","1","0","0","0","검사전날밤11시부터 금식 요망","02-3423-8688","강남구 보건소","02-3423-7134","강남구 보건소","2025-03-16","3220000","서울특별시 강남구","2026-01-01 14:51:00.0"
"수서동건강증진센터","건강증진","서울특별시 강남구 밤고개로1길 52","서울특별시 강남구 수서동718","37.48900105","127.1052745","대사증후군관리,만성질환관리,고혈압,당뇨 교육","09:00","18:00","토+일+공휴일","40","0","2","0","0","0","검사전날밤10시부터 금식 요망","02-3423-8773","강남구 보건소","02-3423-7134","강남구 보건소","2025-03-16","3220000","서울특별시 강남구","2026-01-01 14:51:00.0"
"강서구정신건강복지센터","정신보건","서울특별시 강서구 공항대로 561, B1층","서울특별시 강서구 염창동 275-12, B1층","37.54964994","126.8682802","중증정신질환관리, 정신건강상담, 자살예방, 알코올중독예방 등","09:00","18:00","매주토요일+매주일요일+공휴일","238","1","3","18","0","임상심리사(1)+작업치료사(3)","상담 전 예약 요망","02-2600-5926","아름다운미래의원","02-2600-5271","서울특별시 강서구청","2025-02-11","3150000","서울특별시 강서구","2026-01-01 14:51:00.0"
"성북구정신건강복지센터","정신보건","서울특별시 성북구 화랑로 63","서울특별시 성북구 하월곡동 46-1","37.60271066","127.0395333","중증정신질환자관리+아동청소년정신건강관리+우울자살예방+알코올중독관리 및 예방+정신건강증진사업 + 지역정신건강 위기개입사업","09:00","18:00","토+일+공휴일","50","0","5","12","","","사전 전화 예약 후 상담","02-2241-6314","서울특별시 성북구보건소","02-2241-6133","성북구보건소","2025-02-05","3070000","서울특별시 성북구","2026-01-01 14:51:00.0"
"영등포구 정신건강복지센터","정신보건","서울특별시 영등포구 당산로 123(당산동3가)","서울특별시 영등포구 당산동3가 385-1","37.52596316","126.8963671","정신건강 고위험군 조기발견 및 조기개입+생애주기별 정신건강 예방사업+정신건강 취약지역 사업자살위기개입 및 관리","09:00","18:00","매주 토+일+공휴일","196.4","0","10","11","0","","","02-2670-4793","영등포구보건소","02-2670-4753","서울특별시 영등포구보건소(건강증진과)","2024-12-24","3180000","서울특별시 영등포구","2026-01-01 14:51:00.0"
"중계평생건강관리센터","건강증진","서울특별시 노원구 노원로17길 56, 중계2,3동 공공복합청사 2층","서울특별시 노원구 중계동 511-1","37.64212979","127.0687149","대사증후군 발견검사 후 건강상담 등","09:00","17:00","토+일+공휴일","","0","2","0","1","행정(1)","사전예약(유선)","02-2116-4455","서울특별시 노원구","02-2116-0743","서울특별시 노원구 보건소","2024-07-11","3100000","서울특별시 노원구","2026-01-01 14:51:00.0"
"노원구정신건강복지센터","정신보건","서울특별시 노원구 노해로 455, 인산빌딩 5층","서울특별시 노원구 상계동 709 MG노원빌딩 5층","37.65416667","127.0585199","정신질환자 등록관리","09:00","18:00","토+일+공휴일","276.43","1","2","14","0","행정(1)","음주 문제 상담 불가","02-933-4591","노원을지대학교병원","02-933-9260","서울특별시 노원구 보건소","2024-07-11","3100000","서울특별시 노원구","2026-01-01 14:51:00.0"
"월계평생건강관리센터","건강증진","서울특별시 노원구 월계로 378, 월계보건지소 2층","서울특별시 노원구 월계동 321-4","37.63145003","127.061568","대사증후군 발견검사 후 건강상담 등","09:00","17:00","토+일+공휴일","","1","3","0","2","행정(2)","사전예약(유선)","02-2116-4567","서울특별시 노원구","02-2116-4581","월계보건지소","2024-07-11","3100000","서울특별시 노원구","2026-01-01 14:51:00.0"
"공릉평생건강관리센터","건강증진","서울특별시 노원구 공릉로 166-1, 공릉보건지소 2층","서울특별시 노원구 공릉동 221-3","37.6247308","127.080005","대사증후군 발견검사 후 건강상담 등","09:00","17:00","토+일+공휴일","","0","2","0","1","행정(1)","사전예약(유선)","02-2116-4981","서울특별시 노원구","02-2116-4974","공릉보건지소","2024-07-11","3100000","서울특별시 노원구","2026-01-01 14:51:00.0"
"상계평생건강관리센터","건강증진","서울특별시 노원구 상계로 118, 상계2동 공공복합청사 3층","서울특별시 노원구 상계동 385-1","37.6574151","127.0678763","대사증후군 발견검사 후 건강상담 등","09:00","17:00","토+일+공휴일","111.39","0","2","0","1","행정(1)","사전예약(유선)","02-2116-4911","서울특별시 노원구","02-2116-4987","상계보건지소","2024-07-11","3100000","서울특별시 노원구","2026-01-01 14:51:00.0"
"마들평생건강관리센터","건강증진","서울특별시 노원구 수락산로 212-20, 마들보건지소 1층","서울특별시 노원구 상계동 1035-1","37.67152659","127.0552966","대사증후군 발견검사 후 건강상담 등","09:00","17:00","토+일+공휴일","","0","2","0","1","행정(1)","사전예약(유선)","02-2116-2014","서울특별시 노원구","02-2116-2004","마들보건지소","2024-07-11","3100000","서울특별시 노원구","2026-01-01 14:51:00.0"
"노원구 건강관리센터","건강증진","서울특별시 노원구 노해로 437, 보건소 2층","서울특별시 노원구 상계동 701-1","37.65451904","127.0562972","대사증후군 발견검사 후 건강상담 등","09:00","17:00","토+일+공휴일","","1","5","0","2","행정(2)","사전예약(유선)","02-2116-4466","서울특별시 노원구","02-2116-0743","서울특별시 노원구 보건소","2024-07-11","3100000","서울특별시 노원구","2026-01-01 14:51:00.0"
"송파건강증진센터","건강증진","서울특별시 송파구 올림픽로 326","서울특별시 송파구 신천동 29-5","37.514469","127.1058587","일반종합검진","09:00","18:00","공휴일","","1","1","0","0","방사선사(1)+운동처방사(1)","검사전날 9시부터 금식","02-2147-3539","송파구보건소","","서울특별시 송파구 보건소","2024-02-19","3230000","서울특별시 송파구","2026-01-01 14:51:00.0"
"송파건강관리센터","건강증진","서울특별시 송파구 올림픽로 326","서울특별시 송파구 신천동 29-5","37.51447565","127.1058587","1차 진료+운동+영양+금연+치매+대사증후군 관리서비스 제공","09:00","18:00","토+일+법정공휴일","550","4","5","1","3","임상병리사(1)+금연상담사 (1)","방문 전 전화 요망","02-2147-3456","송파구보건소","02-2147-3470","서울특별시 송파구 보건소","2024-02-19","3230000","서울특별시 송파구","2026-01-01 14:51:00.0"
"강동구정신건강복지센터","정신보건","서울특별시 강동구 성내로 45","서울특별시 강동구 성내2동 541-2번지","37.52954199","127.125597","중증사례관리사업+아동청소년사업+우울자살예방사업+지역환경조성사업","09:00","18:00","토+일+공휴일","77.28","1","0","11","0","심리상담사(1)","강동구민누구나(문의후이용)","02-471-3223","국립중앙의료원","02-2260-7092","서울특별시 강동구보건소","2023-08-18","3240000","서울특별시 강동구","2026-01-01 14:51:00.0"
"양천구 정신건강복지센터","정신보건","서울특별시 양천구 목동서로 339(신정동)","서울특별시 양천구 신정동 321-5","37.517794","126.865739","만성정신질환자 관리사업+정신건강증진사업+아동청소년 정신건강특화사업","09:00","18:00","토+일+공휴일","198","1","1","16","0","","","02-2061-8881","양천구보건소","02-2620-3941","서울특별시 양천구","2023-08-14","3140000","서울특별시 양천구","2026-01-01 14:51:00.0"
